Name,Full Name,Age,Height,Nationality,Overall,Potential,First Name,Last Name
Victor Sánchez,Victor Sánchez,30,175.0,Spain,77,77,Victor,Sánchez
Vieirundinho,Vieirundinho,30,188.0,Brazil,77,77,Vieirundinho,-
V. Vasin,Viktor Vasin,29,193.0,Russia,77,77,Viktor,Vasin
Vágner Love,Vágner Love,34,170.0,Brazil,77,77,Vágner,Love
Wilson Eduardo,Wilson Eduardo,27,178.0,Portugal,77,77,Wilson,Eduardo
W. Reid,Winston Reid,29,190.0,New Zealand,77,77,Winston,Reid
Yuri Berchiche,Yuri Berchiche,28,180.0,Spain,77,77,Yuri,Berchiche
O. Trejo,Óscar Trejo,30,180.0,Argentina,77,77,Óscar,Trejo
A. Lunin,Andriy Lunin,19,190.0,Ukraine,76,88,Andriy,Lunin
A. Ćorić,Ante Ćorić,21,175.0,Croatia,76,88,Ante,Ćorić
I. Sarr,Ismaïla Sarr,20,185.0,Senegal,76,87,Ismaïla,Sarr
Marc Roca,Marc Roca,21,183.0,Spain,76,87,Marc,Roca
S. Berge,Sander Berge,20,196.0,Norway,76,87,Sander,Berge
B. Embolo,Breel Embolo,21,185.0,Switzerland,76,86,Breel,Embolo
Gedson Fernandes,Gedson Fernandes,19,180.0,Portugal,76,86,Gedson,Fernandes
H. Onyekuru,Henry Onyekuru,21,175.0,Nigeria,76,86,Henry,Onyekuru
K. Tierney,Kieran Tierney,21,178.0,Scotland,76,86,Kieran,Tierney
Wendel,Wendel,20,180.0,Brazil,76,86,Wendel,-
Alfa Semedo,Alfa Semedo,20,188.0,Guinea Bissau,76,85,Alfa,Semedo
A. Ndiaye Diedhiou,Amath Ndiaye Diedhiou,21,173.0,Senegal,76,85,Amath,Ndiaye Diedhiou
F. Benković,Filip Benković,20,193.0,Croatia,76,85,Filip,Benković
J. Jankto,Jakub Jankto,22,180.0,Czech Republic,76,85,Jakub,Jankto
K. Dolberg,Kasper Dolberg,20,188.0,Denmark,76,85,Kasper,Dolberg
M. Dembélé,Moussa Dembélé,21,183.0,France,76,85,Moussa,Dembélé
N. Nández,Nahitan Nández,22,173.0,Uruguay,76,85,Nahitan,Nández
B. Henrichs,Benjamin Henrichs,21,183.0,Germany,76,84,Benjamin,Henrichs
C. Nkunku,Christopher Nkunku,20,178.0,France,76,84,Christopher,Nkunku
F. Uduokhai,Felix Uduokhai,20,193.0,Germany,76,84,Felix,Uduokhai
J. Grealish,Jack Grealish,22,175.0,England,76,84,Jack,Grealish
J. Brekalo,Josip Brekalo,20,175.0,Croatia,76,84,Josip,Brekalo
Kenedy,Kenedy,22,183.0,Brazil,76,84,Kenedy,-
Mario Hermoso,Mario Hermoso,23,183.0,Spain,76,84,Mario,Hermoso
N. Pépé,Nicolas Pépé,23,183.0,Ivory Coast,76,84,Nicolas,Pépé
A. Halilović,Alen Halilović,22,170.0,Croatia,76,83,Alen,Halilović
Camarasa,Camarasa,24,183.0,Spain,76,83,Camarasa,-
De Tomás,De Tomás,23,180.0,Spain,76,83,De,Tomás
D. Gray,Demarai Gray,22,180.0,England,76,83,Demarai,Gray
F. Bustos,Fabricio Bustos,22,168.0,Argentina,76,83,Fabricio,Bustos
Francisco Geraldes,Francisco Geraldes,23,170.0,Portugal,76,83,Francisco,Geraldes
J. Denayer,Jason Denayer,23,183.0,Belgium,76,83,Jason,Denayer
J. Aholou,Jean-Eudes Aholou,24,188.0,Ivory Coast,76,83,Jean-Eudes,Aholou
J. Gnagnon,Joris Gnagnon,21,183.0,France,76,83,Joris,Gnagnon
K. Linetty,Karol Linetty,23,175.0,Poland,76,83,Karol,Linetty
L. Magallán,Lisandro Magallán,24,185.0,Argentina,76,83,Lisandro,Magallán
M. Pašalić,Mario Pašalić,23,188.0,Croatia,76,83,Mario,Pašalić
M. Pjaca,Marko Pjaca,23,185.0,Croatia,76,83,Marko,Pjaca
Matheus Pereira,Matheus Pereira,22,175.0,Brazil,76,83,Matheus,Pereira
M. Rashica,Milot Rashica,22,178.0,Kosovo,76,83,Milot,Rashica
M. Veljković,Miloš Veljković,22,183.0,Serbia,76,83,Miloš,Veljković
O. Vlachodimos,Odisseas Vlachodimos,24,188.0,Greece,76,83,Odisseas,Vlachodimos
R. Holding,Rob Holding,22,188.0,England,76,83,Rob,Holding
Rubén Blanco,Rubén Blanco,22,188.0,Spain,76,83,Rubén,Blanco
T. Jedvaj,Tin Jedvaj,22,183.0,Croatia,76,83,Tin,Jedvaj
Y. Yazıcı,Yusuf Yazıcı,21,183.0,Turkey,76,83,Yusuf,Yazıcı
A. Nagy,Ádám Nagy,23,178.0,Hungary,76,83,Ádám,Nagy
A. Djiku,Alexander Djiku,23,183.0,France,76,82,Alexander,Djiku
A. Gomis,Alfred Gomis,24,193.0,Senegal,76,82,Alfred,Gomis
E. Boateng,Emmanuel Boateng,22,175.0,Ghana,76,82,Emmanuel,Boateng
Gabriel Boschilia,Gabriel Boschilia,22,173.0,Brazil,76,82,Gabriel,Boschilia
G. Donsah,Godfred Donsah,22,175.0,Ghana,76,82,Godfred,Donsah
M. Holgate,Mason Holgate,21,183.0,England,76,82,Mason,Holgate
M. Simon,Moses Simon,22,168.0,Nigeria,76,82,Moses,Simon
R. Pizarro,Rodolfo Pizarro,24,173.0,Mexico,76,82,Rodolfo,Pizarro
R. Marin,Răzvan Marin,22,175.0,Romania,76,82,Răzvan,Marin
V. Koziello,Vincent Koziello,22,168.0,France,76,82,Vincent,Koziello
E. Balanta,Éder Balanta,25,180.0,Colombia,76,82,Éder,Balanta
Alex Berenguer,Alex Berenguer,22,175.0,Spain,76,81,Alex,Berenguer
A. Umar,Aminu Umar,23,175.0,Nigeria,76,81,Aminu,Umar
A. Petagna,Andrea Petagna,23,190.0,Italy,76,81,Andrea,Petagna
A. Izzo,Armando Izzo,26,183.0,Italy,76,81,Armando,Izzo
Ayoze Pérez,Ayoze Pérez,24,178.0,Spain,76,81,Ayoze,Pérez
David Juncà,David Juncà,24,175.0,Spain,76,81,David,Juncà
D. Yedlin,DeAndre Yedlin,24,173.0,United States,76,81,DeAndre,Yedlin
D. Praet,Dennis Praet,24,180.0,Belgium,76,81,Dennis,Praet
D. Dumfries,Denzel Dumfries,22,188.0,Netherlands,76,81,Denzel,Dumfries
F. Acheampong,Frank Acheampong,24,165.0,Ghana,76,81,Frank,Acheampong
G. Laborde,Gaëtan Laborde,24,180.0,France,76,81,Gaëtan,Laborde
I. Bebou,Ihlas Bebou,24,183.0,Togo,76,81,Ihlas,Bebou
I. Ordets,Ivan Ordets,25,193.0,Ukraine,76,81,Ivan,Ordets
Iván Alejo,Iván Alejo,23,183.0,Spain,76,81,Iván,Alejo
Junior Firpo,Junior Firpo,21,183.0,Spain,76,81,Junior,Firpo
M. Niang,M'Baye Niang,23,183.0,Senegal,76,81,M'Baye,Niang
M. Arambarri,Mauro Arambarri,22,175.0,Uruguay,76,81,Mauro,Arambarri
N. Chalobah,Nathaniel Chalobah,23,185.0,England,76,81,Nathaniel,Chalobah
N. Radoja,Nemanja Radoja,25,185.0,Serbia,76,81,Nemanja,Radoja
O. Colley,Omar Colley,25,190.0,Gambia,76,81,Omar,Colley
Pedro Henrique,Pedro Henrique,25,190.0,Brazil,76,81,Pedro,Henrique
P. Højbjerg,Pierre-Emile Højbjerg,22,185.0,Denmark,76,81,Pierre-Emile,Højbjerg
R. Durmisi,Riza Durmisi,24,168.0,Denmark,76,81,Riza,Durmisi
Rubén Duarte,Rubén Duarte,22,180.0,Spain,76,81,Rubén,Duarte
S. Gigot,Samuel Gigot,24,188.0,France,76,81,Samuel,Gigot
T. Baumgartl,Timo Baumgartl,22,190.0,Germany,76,81,Timo,Baumgartl
A. Rusnák,Albert Rusnák,23,175.0,Slovakia,76,80,Albert,Rusnák
Aritz Elustondo,Aritz Elustondo,24,180.0,Spain,76,80,Aritz,Elustondo
C. Salcedo,Carlos Salcedo,24,185.0,Mexico,76,80,Carlos,Salcedo
C. Hérelle,Christophe Hérelle,25,188.0,France,76,80,Christophe,Hérelle
Dalbert,Dalbert,24,180.0,Brazil,76,80,Dalbert,-
D. Reyes,Diego Reyes,25,188.0,Mexico,76,80,Diego,Reyes
Diego Rico,Diego Rico,25,183.0,Spain,76,80,Diego,Rico
Douglas Santos,Douglas Santos,24,175.0,Brazil,76,80,Douglas,Santos
Jordi Amat,Jordi Amat,26,185.0,Spain,76,80,Jordi,Amat
L. Vietto,Luciano Vietto,24,173.0,Argentina,76,80,Luciano,Vietto
M. Livaja,Marko Livaja,24,183.0,Croatia,76,80,Marko,Livaja
M. Benítez,Martín Benítez,24,173.0,Argentina,76,80,Martín,Benítez
M. Konaté,Moussa Konaté,25,183.0,Senegal,76,80,Moussa,Konaté
O. Selnæs,Ole Kristian Selnæs,23,188.0,Norway,76,80,Ole,Kristian Selnæs
Rodrigo Ely,Rodrigo Ely,24,188.0,Brazil,76,80,Rodrigo,Ely
S. Kverkvelia,Solomon Kverkvelia,26,196.0,Georgia,76,80,Solomon,Kverkvelia
Tozé,Tozé,25,165.0,Portugal,76,80,Tozé,-
W. Hoedt,Wesley Hoedt,24,188.0,Netherlands,76,80,Wesley,Hoedt
A. Touré,Abdoulaye Touré,24,188.0,France,76,79,Abdoulaye,Touré
A. Ruiz,Alan Ruiz,24,183.0,Argentina,76,79,Alan,Ruiz
D. Pelkas,Dimitrios Pelkas,24,178.0,Greece,76,79,Dimitrios,Pelkas
F. Di Francesco,Federico Di Francesco,24,170.0,Italy,76,79,Federico,Di Francesco
F. Viviani,Federico Viviani,26,180.0,Italy,76,79,Federico,Viviani
Iuri Medeiros,Iuri Medeiros,23,175.0,Portugal,76,79,Iuri,Medeiros
Jesé,Jesé,25,178.0,Spain,76,79,Jesé,-
J. Willems,Jetro Willems,24,178.0,Netherlands,76,79,Jetro,Willems
João Pedro,João Pedro,26,183.0,Brazil,76,79,João,Pedro
J. Iturbe,Juan Iturbe,25,170.0,Paraguay,76,79,Juan,Iturbe
Juanmi,Juanmi,25,173.0,Spain,76,79,Juanmi,-
M. Sels,Matz Sels,26,190.0,Belgium,76,79,Matz,Sels
M. Samatta,Mbwana Ally Samatta,25,183.0,Tanzania,76,79,Mbwana,Ally Samatta
N. Vukčević,Nikola Vukčević,26,183.0,Montenegro,76,79,Nikola,Vukčević
R. Morrison,Ravel Morrison,25,175.0,England,76,79,Ravel,Morrison
Recio,Recio,27,183.0,Spain,76,79,Recio,-
R. Knoche,Robin Knoche,26,190.0,Germany,76,79,Robin,Knoche
S. Meïté,Soualiho Meïté,24,188.0,France,76,79,Soualiho,Meïté
Thiago Mendes,Thiago Mendes,26,178.0,Brazil,76,79,Thiago,Mendes
T. Rogić,Tom Rogić,25,188.0,Australia,76,79,Tom,Rogić
T. Koubek,Tomáš Koubek,25,198.0,Czech Republic,76,79,Tomáš,Koubek
V. Berisha,Valon Berisha,25,175.0,Kosovo,76,79,Valon,Berisha
Y. Mutō,Yoshinori Mutō,25,178.0,Japan,76,79,Yoshinori,Mutō
Z. Labyad,Zakaria Labyad,25,173.0,Morocco,76,79,Zakaria,Labyad
L. Skorupski,Łukasz Skorupski,27,188.0,Poland,76,79,Łukasz,Skorupski
A. Hegazi,Ahmed Hegazi,27,193.0,Egypt,76,78,Ahmed,Hegazi
C. Biraghi,Cristiano Biraghi,25,185.0,Italy,76,78,Cristiano,Biraghi
D. Ings,Danny Ings,25,178.0,England,76,78,Danny,Ings
E. Mangala,Eliaquim Mangala,27,188.0,France,76,78,Eliaquim,Mangala
I. Belfodil,Ishak Belfodil,26,190.0,Algeria,76,78,Ishak,Belfodil
Jaume,Jaume,27,185.0,Spain,76,78,Jaume,-
J. Palomino,José Luis Palomino,28,188.0,Argentina,76,78,José,Luis Palomino
L. Unnerstall,Lars Unnerstall,27,198.0,Germany,76,78,Lars,Unnerstall
L. Kalinić,Lovre Kalinić,28,201.0,Croatia,76,78,Lovre,Kalinić
Paulo Oliveira,Paulo Oliveira,27,188.0,Portugal,76,78,Paulo,Oliveira
P. Jansson,Pontus Jansson,27,196.0,Sweden,76,78,Pontus,Jansson
Rubén Sobrino,Rubén Sobrino,26,185.0,Spain,76,78,Rubén,Sobrino
S. Padt,Sergio Padt,28,198.0,Netherlands,76,78,Sergio,Padt
S. Widmer,Silvan Widmer,25,183.0,Switzerland,76,78,Silvan,Widmer
T. Monconduit,Thomas Monconduit,27,183.0,France,76,78,Thomas,Monconduit
Vitor Hugo,Vitor Hugo,27,188.0,Brazil,76,78,Vitor,Hugo
A. N'Diaye,Alfred N'Diaye,28,188.0,Senegal,76,77,Alfred,N'Diaye
A. Gray,Andre Gray,27,180.0,England,76,77,Andre,Gray
A. Delort,Andy Delort,26,180.0,France,76,77,Andy,Delort
A. Souquet,Arnaud Souquet,26,178.0,France,76,77,Arnaud,Souquet
Bernat,Bernat,25,170.0,Spain,76,77,Bernat,-
Carles Planas,Carles Planas,27,173.0,Spain,76,77,Carles,Planas
C. Zambrano,Carlos Zambrano,28,185.0,Peru,76,77,Carlos,Zambrano
C. Clark,Ciaran Clark,28,185.0,Republic of Ireland,76,77,Ciaran,Clark
Diego Mariño,Diego Mariño,28,188.0,Spain,76,77,Diego,Mariño
Embarba,Embarba,26,173.0,Spain,76,77,Embarba,-
F. Klaus,Felix Klaus,25,180.0,Germany,76,77,Felix,Klaus
F. Mollet,Florent Mollet,26,170.0,France,76,77,Florent,Mollet
F. Kainz,Florian Kainz,25,175.0,Austria,76,77,Florian,Kainz
F. Forster,Fraser Forster,30,201.0,England,76,77,Fraser,Forster
G. Fernández,Guillermo Fernández,26,178.0,Argentina,76,77,Guillermo,Fernández
G. Töre,Gökhan Töre,26,175.0,Turkey,76,77,Gökhan,Töre
H. Tekin,Harun Tekin,29,188.0,Turkey,76,77,Harun,Tekin
H. Nordtveit,Håvard Nordtveit,28,188.0,Norway,76,77,Håvard,Nordtveit
J. Campbell,Joel Campbell,26,178.0,Costa Rica,76,77,Joel,Campbell
J. Clasie,Jordy Clasie,27,170.0,Netherlands,76,77,Jordy,Clasie
J. Veltman,Joël Veltman,26,183.0,Netherlands,76,77,Joël,Veltman
Kiko Femenía,Kiko Femenía,27,175.0,Spain,76,77,Kiko,Femenía
K. Malcuit,Kévin Malcuit,26,178.0,France,76,77,Kévin,Malcuit
L. Zuffi,Luca Zuffi,28,180.0,Switzerland,76,77,Luca,Zuffi
M. Uribe,Matheus Uribe,27,183.0,Colombia,76,77,Matheus,Uribe
N. Sliti,Naïm Sliti,25,173.0,Tunisia,76,77,Naïm,Sliti
N. Domínguez,Nery Domínguez,28,183.0,Argentina,76,77,Nery,Domínguez
N. Sansone,Nicola Sansone,26,175.0,Italy,76,77,Nicola,Sansone
Pablo,Pablo,27,188.0,Brazil,76,77,Pablo,-
P. Mantalos,Petros Mantalos,26,175.0,Greece,76,77,Petros,Mantalos
R. Freuler,Remo Freuler,26,180.0,Switzerland,76,77,Remo,Freuler
S. Rode,Sebastian Rode,27,178.0,Germany,76,77,Sebastian,Rode
S. Hanni,Sofiane Hanni,27,178.0,Algeria,76,77,Sofiane,Hanni
S. Bell,Stefan Bell,26,193.0,Germany,76,77,Stefan,Bell
S. Ristovski,Stefan Ristovski,26,180.0,FYR Macedonia,76,77,Stefan,Ristovski
S. Zuber,Steven Zuber,26,183.0,Switzerland,76,77,Steven,Zuber
V. Eysseric,Valentin Eysseric,26,180.0,France,76,77,Valentin,Eysseric
Wu Lei,Wu Lei,26,175.0,China PR,76,77,Wu,Lei
O. Romero,Óscar Romero,25,175.0,Paraguay,76,77,Óscar,Romero
L. Teodorczyk,Łukasz Teodorczyk,27,188.0,Poland,76,77,Łukasz,Teodorczyk
A. Cresswell,Aaron Cresswell,28,175.0,England,76,76,Aaron,Cresswell
A. Hunt,Aaron Hunt,31,183.0,Germany,76,76,Aaron,Hunt
A. Lennon,Aaron Lennon,31,165.0,England,76,76,Aaron,Lennon
A. Smith,Adam Smith,27,180.0,England,76,76,Adam,Smith
Aday Benítez,Aday Benítez,30,178.0,Spain,76,76,Aday,Benítez
A. Mehmedi,Admir Mehmedi,27,183.0,Switzerland,76,76,Admir,Mehmedi
Alan Carvalho,Alan Carvalho,28,183.0,Brazil,76,76,Alan,Carvalho
Alan Kardec,Alan Kardec,29,185.0,Brazil,76,76,Alan,Kardec
A. Bizzarri,Albano Bizzarri,40,188.0,Argentina,76,76,Albano,Bizzarri
A. Paloschi,Alberto Paloschi,28,183.0,Italy,76,76,Alberto,Paloschi
A. Ekdal,Albin Ekdal,28,185.0,Sweden,76,76,Albin,Ekdal
A. Donatti,Alejandro Donatti,31,193.0,Argentina,76,76,Alejandro,Donatti
A. Samedov,Alexandr Samedov,33,178.0,Russia,76,76,Alexandr,Samedov
Alexo Baia,Alexo Baia,30,175.0,Brazil,76,76,Alexo,Baia
Andeson Trigo,Andeson Trigo,30,175.0,Brazil,76,76,Andeson,Trigo
A. Ranocchia,Andrea Ranocchia,30,196.0,Italy,76,76,Andrea,Ranocchia
A. Samaris,Andreas Samaris,29,188.0,Greece,76,76,Andreas,Samaris
André Simões,André Simões,28,178.0,Portugal,76,76,André,Simões
Andrés Fernández,Andrés Fernández,31,188.0,Spain,76,76,Andrés,Fernández
A. Knockaert,Anthony Knockaert,26,173.0,France,76,76,Anthony,Knockaert
A. Barnes,Ashley Barnes,28,185.0,Austria,76,76,Ashley,Barnes
B. Koné,Bakary Koné,30,188.0,Burkina Faso,76,76,Bakary,Koné
B. Dzsudzsák,Balázs Dzsudzsák,31,178.0,Hungary,76,76,Balázs,Dzsudzsák
Barragán,Barragán,31,183.0,Spain,76,76,Barragán,-
Beto,Beto,36,183.0,Portugal,76,76,Beto,-
B. Fornaroli,Bruno Fornaroli,30,175.0,Uruguay,76,76,Bruno,Fornaroli
C. Erkin,Caner Erkin,29,180.0,Turkey,76,76,Caner,Erkin
C. Kouyaté,Cheikhou Kouyaté,28,188.0,Senegal,76,76,Cheikhou,Kouyaté
C. Benteke,Christian Benteke,27,190.0,Belgium,76,76,Christian,Benteke
C. Kerbrat,Christophe Kerbrat,31,185.0,France,76,76,Christophe,Kerbrat
C. Dawson,Craig Dawson,28,188.0,England,76,76,Craig,Dawson
C. Riveros,Cristian Riveros,35,178.0,Paraguay,76,76,Cristian,Riveros
C. Davies,Curtis Davies,33,188.0,England,76,76,Curtis,Davies
C. Théréau,Cyril Théréau,35,188.0,France,76,76,Cyril,Théréau
D. Stephens,Dale Stephens,29,185.0,England,76,76,Dale,Stephens
D. Brosinski,Daniel Brosinski,29,178.0,Germany,76,76,Daniel,Brosinski
D. D'Ambrosio,Danilo D'Ambrosio,29,180.0,Italy,76,76,Danilo,D'Ambrosio
Danny,Danny,34,178.0,Portugal,76,76,Danny,-
D. Quintero,Darwin Quintero,30,165.0,Colombia,76,76,Darwin,Quintero
Davi Parrela,Davi Parrela,30,190.0,Brazil,76,76,Davi,Parrela
D. Limberský,David Limberský,34,180.0,Czech Republic,76,76,David,Limberský
David Seijalbo,David Seijalbo,34,175.0,Brazil,76,76,David,Seijalbo
D. Zurutuza,David Zurutuza,31,185.0,France,76,76,David,Zurutuza
D. Santon,Davide Santon,27,188.0,Italy,76,76,Davide,Santon
D. Boyko,Denys Boyko,30,193.0,Ukraine,76,76,Denys,Boyko
D. González,Diego González,30,180.0,Argentina,76,76,Diego,González
Diego Tardelli,Diego Tardelli,33,178.0,Brazil,76,76,Diego,Tardelli
D. Mbokani,Dieumerci Mbokani,32,185.0,DR Congo,76,76,Dieumerci,Mbokani
D. Chygrynskyi,Dmytro Chygrynskyi,31,188.0,Ukraine,76,76,Dmytro,Chygrynskyi
D. Pabón,Dorlan Pabón,30,168.0,Colombia,76,76,Dorlan,Pabón
Dênildo Stein,Dênildo Stein,30,180.0,Brazil,76,76,Dênildo,Stein
E. Vargas,Eduardo Vargas,28,175.0,Chile,76,76,Eduardo,Vargas
Eltildo Correia,Eltildo Correia,26,188.0,Brazil,76,76,Eltildo,Correia
E. Insúa,Emiliano Insúa,29,180.0,Argentina,76,76,Emiliano,Insúa
Emilio Piodão,Emilio Piodão,26,178.0,Brazil,76,76,Emilio,Piodão
E. Valencia,Enner Valencia,28,178.0,Ecuador,76,76,Enner,Valencia
Eraso,Eraso,28,180.0,Spain,76,76,Eraso,-
Eric Botteghin,Eric Botteghin,30,190.0,Brazil,76,76,Eric,Botteghin
E. Bičakčić,Ermin Bičakčić,28,185.0,Bosnia Herzegovina,76,76,Ermin,Bičakčić
F. Lustenberger,Fabian Lustenberger,30,180.0,Switzerland,76,76,Fabian,Lustenberger
F. Borini,Fabio Borini,27,180.0,Italy,76,76,Fabio,Borini
F. Fernández,Federico Fernández,29,190.0,Argentina,76,76,Federico,Fernández
F. Bartels,Fin Bartels,31,175.0,Germany,76,76,Fin,Bartels
Fred Aníbão,Fred Aníbão,26,193.0,Brazil,76,76,Fred,Aníbão
F. Guarín,Fredy Guarín,32,183.0,Colombia,76,76,Fredy,Guarín
F. Montero,Fredy Montero,30,175.0,Colombia,76,76,Fredy,Montero
Ganso,Ganso,28,183.0,Brazil,76,76,Ganso,-
G. Clichy,Gaël Clichy,32,175.0,France,76,76,Gaël,Clichy
G. Kakuta,Gaël Kakuta,27,173.0,DR Congo,76,76,Gaël,Kakuta
G. Lapadula,Gianluca Lapadula,28,178.0,Italy,76,76,Gianluca,Lapadula
Gil,Gil,31,193.0,Brazil,76,76,Gil,-
G. Cabral,Gustavo Cabral,32,183.0,Argentina,76,76,Gustavo,Cabral
G. Gönül,Gökhan Gönül,33,175.0,Turkey,76,76,Gökhan,Gönül
H. Soudani,Hillal Soudani,30,178.0,Algeria,76,76,Hillal,Soudani
Héldon,Héldon,29,175.0,Cape Verde,76,76,Héldon,-
I. Brizuela,Isaac Brizuela,27,170.0,Mexico,76,76,Isaac,Brizuela
I. Slimani,Islam Slimani,30,188.0,Algeria,76,76,Islam,Slimani
I. Santini,Ivan Santini,29,188.0,Croatia,76,76,Ivan,Santini
I. Popov,Ivelin Popov,30,183.0,Bulgaria,76,76,Ivelin,Popov
Iván Cuéllar,Iván Cuéllar,34,188.0,Spain,76,76,Iván,Cuéllar
J. Forrest,James Forrest,26,175.0,Scotland,76,76,James,Forrest
J. McArthur,James McArthur,30,178.0,Scotland,76,76,James,McArthur
J. Montero,Jefferson Montero,28,173.0,Ecuador,76,76,Jefferson,Montero
J. Briand,Jimmy Briand,32,180.0,France,76,76,Jimmy,Briand
J. Allen,Joe Allen,28,168.0,Wales,76,76,Joe,Allen
J. Hopf,Johannes Hopf,31,193.0,Sweden,76,76,Johannes,Hopf
J. Lössl,Jonas Lössl,29,196.0,Denmark,76,76,Jonas,Lössl
J. Martin,Jonas Martin,28,183.0,France,76,76,Jonas,Martin
J. De Guzmán,Jonathan De Guzmán,30,175.0,Netherlands,76,76,Jonathan,De Guzmán
J. Hogg,Jonathan Hogg,29,175.0,England,76,76,Jonathan,Hogg
J. Orozco,Jonathan Orozco,32,183.0,Mexico,76,76,Jonathan,Orozco
J. Ayew,Jordan Ayew,26,183.0,Ghana,76,76,Jordan,Ayew
Josué,Josué,27,175.0,Portugal,76,76,Josué,-
J. Cuadrado,José Cuadrado,33,180.0,Colombia,76,76,José,Cuadrado
J. Vázquez,José Juan Vázquez,30,165.0,Mexico,76,76,José,Juan Vázquez
J. Sosa,José Sosa,33,178.0,Argentina,76,76,José,Sosa
J. Altidore,Jozy Altidore,28,183.0,United States,76,76,Jozy,Altidore
Juli Freitinho,Juli Freitinho,30,193.0,Brazil,76,76,Juli,Freitinho
J. Morel,Jérémy Morel,34,175.0,Madagascar,76,76,Jérémy,Morel
Júnior Caiçara,Júnior Caiçara,29,173.0,Brazil,76,76,Júnior,Caiçara
J. Fernandes,Júnior Fernandes,29,183.0,Chile,76,76,Júnior,Fernandes
Júnior Moraes,Júnior Moraes,31,175.0,Brazil,76,76,Júnior,Moraes
Ki Sung Yueng,Ki Sung Yueng,29,188.0,Korea Republic,76,76,Ki,Sung Yueng
K. Gibbs,Kieran Gibbs,28,178.0,England,76,76,Kieran,Gibbs
Koo Ja Cheol,Koo Ja Cheol,29,183.0,Korea Republic,76,76,Koo,Ja Cheol
L. Christodoulopoulos,Lazaros Christodoulopoulos,31,183.0,Greece,76,76,Lazaros,Christodoulopoulos
L. Holtby,Lewis Holtby,27,175.0,Germany,76,76,Lewis,Holtby
Llorente,Llorente,33,193.0,Spain,76,76,Llorente,-
L. Antonelli,Luca Antonelli,31,183.0,Italy,76,76,Luca,Antonelli
L. Rossettini,Luca Rossettini,33,188.0,Italy,76,76,Luca,Rossettini
L. Rupp,Lukas Rupp,27,178.0,Germany,76,76,Lukas,Rupp
Léo Matos,Léo Matos,32,183.0,Brazil,76,76,Léo,Matos
M. Torres,Macnelly Torres,33,170.0,Colombia,76,76,Macnelly,Torres
Maicón,Maicón,28,183.0,Brazil,76,76,Maicón,-
M. Albrighton,Marc Albrighton,28,175.0,England,76,76,Marc,Albrighton
Marcelo,Marcelo,28,183.0,Brazil,76,76,Marcelo,-
M. Díaz,Marcelo Díaz,31,165.0,Chile,76,76,Marcelo,Díaz
M. Barbosa,Mariano Barbosa,33,188.0,Argentina,76,76,Mariano,Barbosa
Mario Suárez,Mario Suárez,31,188.0,Spain,76,76,Mario,Suárez
M. Noble,Mark Noble,31,178.0,England,76,76,Mark,Noble
M. de Roon,Marten de Roon,27,185.0,Netherlands,76,76,Marten,de Roon
Mata,Mata,29,188.0,Spain,76,76,Mata,-
M. Phillips,Matt Phillips,27,183.0,Scotland,76,76,Matt,Phillips
M. Darmian,Matteo Darmian,28,183.0,Italy,76,76,Matteo,Darmian
M. Destro,Mattia Destro,27,178.0,Italy,76,76,Mattia,Destro
M. Boselli,Mauro Boselli,33,185.0,Argentina,76,76,Mauro,Boselli
Maurício,Maurício,29,180.0,Brazil,76,76,Maurício,-
M. Moralez,Maxi Moralez,31,157.0,Argentina,76,76,Maxi,Moralez
M. Topal,Mehmet Topal,32,188.0,Turkey,76,76,Mehmet,Topal
M. Bradley,Michael Bradley,30,188.0,United States,76,76,Michael,Bradley
M. Esser,Michael Esser,30,198.0,Germany,76,76,Michael,Esser
M. Antonio,Michail Antonio,28,178.0,England,76,76,Michail,Antonio
Miguel Lopes,Miguel Lopes,31,183.0,Portugal,76,76,Miguel,Lopes
M. Antenucci,Mirco Antenucci,33,178.0,Italy,76,76,Mirco,Antenucci
Mosquera,Mosquera,30,183.0,Spain,76,76,Mosquera,-
Mossoró,Mossoró,34,170.0,Brazil,76,76,Mossoró,-
N. El Zhar,Nabil El Zhar,31,170.0,Morocco,76,76,Nabil,El Zhar
Nelsildo Reis,Nelsildo Reis,30,190.0,Brazil,76,76,Nelsildo,Reis
N. Blandi,Nicolás Blandi,28,180.0,Argentina,76,76,Nicolás,Blandi
N. Domingo,Nicolás Domingo,33,175.0,Argentina,76,76,Nicolás,Domingo
O. El Kaddouri,Omar El Kaddouri,27,185.0,Morocco,76,76,Omar,El Kaddouri
O. Wendt,Oscar Wendt,32,180.0,Sweden,76,76,Oscar,Wendt
O. Alonso,Osvaldo Alonso,32,180.0,Cuba,76,76,Osvaldo,Alonso
P. Aguilar,Pablo Aguilar,31,180.0,Paraguay,76,76,Pablo,Aguilar
P. Zabaleta,Pablo Zabaleta,33,178.0,Argentina,76,76,Pablo,Zabaleta
P. van Aanholt,Patrick van Aanholt,27,175.0,Netherlands,76,76,Patrick,van Aanholt
P. Baysse,Paul Baysse,30,183.0,France,76,76,Paul,Baysse
P. Bargfrede,Philipp Bargfrede,29,175.0,Germany,76,76,Philipp,Bargfrede
P. Schwegler,Pirmin Schwegler,31,178.0,Switzerland,76,76,Pirmin,Schwegler
Rafael Cachoira,Rafael Cachoira,30,188.0,Brazil,76,76,Rafael,Cachoira
